player,position,seasonsplayed,ppg,rpg,apg,spg,bpg,totalpoints,totalrebounds,totalassists,totalsteals,totalblocks,rings,mvp,finalsmvp,allstar,allnba,alldefense,defensivepoy,active,
Kevin Garnett,F,21,17,10,3.7,1.3,1.4,"26,071","14,662","5,445","1,859","2,037",1,1,0,15,9,12,1,no,
Dirk Nowitzki,F,21,20.7,7.5,2.4,0.8,0.8,"31,560","11,489","3,651","1,210","1,281",1,1,1,14,12,0,0,no,
Robert Parish,C,21,14.5,9.1,1.4,0.8,1.5,"23,334","14,715","2,180","1,219","2,361",4,0,0,9,2,0,0,no,
Kobe Bryant,G,20,25,5.2,4.7,1.4,0.5,"33,643","7,047","6,306","1,944",640,5,1,2,18,15,12,0,no,
Kareem Abdul-Jabarr,C,20,24.6,11.2,3.6,0.9,2.6,"38,387","17,440","5,660","1,160","3,189",6,6,2,19,15,11,0,no,
John Stockton,G,19,13.1,2.7,10.5,2.2,0.2,"19,711","4,051","15,806","3,265",315,0,0,0,10,11,5,0,no,
Jason Kidd,G,19,12.6,6.3,8.7,1.9,0.3,"17,529","8,725","12,091","2,684",450,1,0,0,10,6,9,0,no,
Karl Malone,F,19,25,10.1,3.6,1.4,0.8,"36,928","14,968","5,248","2,085","1,145",0,2,0,14,14,4,0,no,
Paul Pierce,F,19,19.7,5.6,3.5,1.3,0.6,"26,397","7,527","4,708","1,752",745,1,0,1,10,4,0,0,no,
Tim Duncan,F,19,19,10.8,3,0.7,2.2,"26,496","15,091","4,225","1,025","3,020",5,2,3,15,15,15,0,no,
Shaquille O'Neal,C,19,23.7,10.9,2.5,0.6,2.3,"28,596","13,099","3,026",739,"2,732",4,1,3,15,14,3,0,no,
Moses Malone,C,19,20.6,12.2,1.3,0.8,1.3,"27,409","16,212","1,796","1,199","1,889",1,3,1,12,8,2,0,no,
Steve Nash,G,18,14.3,3,8.5,0.7,0.1,"17,387","3,642","10,335",899,102,0,2,0,8,7,0,0,no,
LeBron James,F,18,27,7.4,7.4,1.8,0.7,"35,367","9,751","9,696","2,083",990,4,4,4,17,17,6,0,yes,
Ray Allen,G,18,18.9,4.1,3.4,1.1,0.2,"24,505","5,272","4,361","1,451",244,2,0,0,10,2,0,0,no,
